artifact_id,scope,phase,title,producer_experiments,logical_path,format,privacy,schema_or_contract,completion_rule,retention
ART-P04-CHECKPOINTS,P,P04,D0 checkpoints,EXP-N00-DEV|EXP-N00-T3,${ATLAS_ARTIFACT_ROOT}/p04/checkpoints/{run_id}.pt,pt,private,model_registry.csv,Protected hash agrees,retain
ART-P04-PREDICTIONS,P,P04,D0 predictions,EXP-N00-T3,${ATLAS_ARTIFACT_ROOT}/p04/predictions/{run_id}.parquet,parquet,private,result_schema.json,Every fold complete or terminal,retain
ART-P05-DEVELOPMENT,P,P05,Acquisition-aware development results,EXP-N01-DEV|EXP-N02-DEV|EXP-N03-DEV|EXP-N04-DEV|EXP-N05-DEV,${ATLAS_ARTIFACT_ROOT}/p05/development/,mixed,private,model_registry.csv,G3 fields complete,retain
ART-P05-FROZEN,P,P05,Frozen advancing candidate,EXP-N01-DEV|EXP-N02-DEV|EXP-N03-DEV|EXP-N04-DEV|EXP-N05-DEV,${ATLAS_ARTIFACT_ROOT}/p05/frozen_candidate.json,json,private,model_registry.csv,Source-only advancement decision recorded,retain
ART-P06-PREDICTIONS,P,P06,Definitive deep predictions,EXP-NSEL-T1|EXP-NSEL-T2|EXP-NSEL-T3,${ATLAS_ARTIFACT_ROOT}/p06/predictions/{run_id}.parquet,parquet,private,result_schema.json,Complete paired prediction set,retain
ART-P06-METRICS,P,P06,Definitive paired metrics,EXP-NSEL-T1|EXP-NSEL-T2|EXP-NSEL-T3,${ATLAS_ARTIFACT_ROOT}/p06/metrics/,csv,private,metric_registry.csv,Metrics recompute from predictions,retain
ART-P07-ADAPTATION,S,P07,Adaptation and calibration curves,EXP-UDA-001|EXP-PC-001|EXP-FS-001,${ATLAS_ARTIFACT_ROOT}/p07/,mixed,private,split_contract.json,Information regimes remain separate,retain
ART-P08-ROBUSTNESS,S,P08,Robustness and preprocessing sensitivities,EXP-RB-001|EXP-RB-002|EXP-RB-003,${ATLAS_ARTIFACT_ROOT}/p08/,mixed,private,metric_registry.csv,All registered branches complete,retain
ART-P09-OPENSET,S,P09,Open-set predictions thresholds and metrics,EXP-OS-001|EXP-OS-002,${ATLAS_ARTIFACT_ROOT}/p09/,mixed,private,result_schema.json,Known-only threshold audit passes,retain
ART-P10-PROBES,S,P10,Target-adjusted probe results,EXP-PR-001,${ATLAS_ARTIFACT_ROOT}/p10/probes/,mixed,private,metric_registry.csv,Chemistry nulls and increments reported,retain
ART-P10-PAIRS,S,P10,Same-master pair diagnostics,EXP-PAIR-001,${ATLAS_ARTIFACT_ROOT}/p10/pairs/,mixed,private,metric_registry.csv,Correctness-conditioned outputs complete,retain
ART-P10-ATTRIBUTION,E,P10,Attribution and sanity controls,EXP-ATTR-001,${ATLAS_ARTIFACT_ROOT}/p10/attribution/,mixed,private,model_registry.csv,Randomization sanity checks pass,retain
ART-P11-INFERENCE,P,P11,Hierarchical inference and route verdict,EXP-STAT-001,${ATLAS_ARTIFACT_ROOT}/p11/,mixed,private,decision_gate_registry.csv,G4 through G6 verdicts determined,retain
ART-P12-FIGURE-DATA,P,P12,Disclosure-reviewed aggregate figure data,EXP-FIG-001,${ATLAS_ARTIFACT_ROOT}/p12/figures/data/,csv,public_after_review,figure_contract.json,Independent unit and aggregation declared,retain
ART-P12-TIKZ,P,P12,Native TikZ figure sources,EXP-FIG-001,${ATLAS_ARTIFACT_ROOT}/p12/figures/tikz/,tex,public_after_review,figure_contract.json,No raster wrappers and compilation passes,retain
ART-P12-HTML,P,P12,Standalone HTML figures,EXP-FIG-001,${ATLAS_ARTIFACT_ROOT}/p12/figures/html/,html,public_after_review,figure_contract.json,Self-contained and semantic parity passes,retain
ART-P12-PDF,P,P12,Compiled vector figures,EXP-FIG-001,${ATLAS_ARTIFACT_ROOT}/p12/figures/pdf/,pdf,public_after_review,figure_contract.json,Vector-only audit passes,retain
ART-P12-FINAL,P,P12,Final validation and artifact hashes,EXP-FIG-001,${ATLAS_ARTIFACT_ROOT}/p12/final/,json,private,figure_contract.json,Final clean rebuild passes,retain
