experiment_id,scope,phase,task_id,information_regime,population,representation,model_id,model_or_method,selection_boundary,technical_seeds,primary_output,artifact_ids,completion_rule
EXP-C08-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,primary,R_MIN_400_1800,C-EXTRA-TREES,Extra Trees,inner master CV,3 forest seeds,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,Seed-averaged folds complete
EXP-C09-T3,P,P03,T3-ZS,zero-shot source-only,primary,R_MIN_400_1800,C-SELECTED,Development-selected classical suite,source-only pseudo-domain CV,3 stochastic seeds,13-domain row master and metric tables,ART-P03-PREDICTIONS|ART-P03-METRICS|ART-P03-CALIBRATION,Every eligible domain and fold complete
EXP-C10-T3,S,P03,T3-ZS,zero-shot source-only,primary,R_MIN_400_1800,C-FIXED-SUITE,Fixed PCA-LDA SVM RF ExtraTrees,fixed or inner hyperparameters,3 stochastic seeds,model-specific domain tables,ART-P03-PREDICTIONS|ART-P03-METRICS|ART-P03-CALIBRATION,Every eligible domain and fold complete
EXP-C11-T2,S,P03,T2-PS|T2-SP,station transfer,primary,R_MIN_400_1800,C-CANDIDATE-SUITE,Classical candidate suite,training-station inner master CV,3 stochastic seeds,directional transfer predictions,ART-P03-PREDICTIONS|ART-P03-METRICS|ART-P03-CALIBRATION,Both directions complete
EXP-C12-CORAL,S,P03,T3-ZS,zero-shot source-only,primary,R_MIN_400_1800,C-SOURCE-CORAL,Source-only CORAL plus PCA-LDA or SVM,source pseudo-domain CV,none,domain predictions,ART-P03-PREDICTIONS|ART-P03-METRICS|ART-P03-CALIBRATION,No held-target covariance used
EXP-N00-DEV,P,P04,T1-CWA|T1-PILLS|T1-SURF,closed set,primary,R_MIN_400_1800,D0-ERM,Compact D0 ERM encoder,source-only inner master CV,3 neural seeds,histories checkpoints and development metrics,ART-P04-HISTORIES|ART-P04-CHECKPOINTS,G2 training validity passes
EXP-N00-T3,P,P04,T3-ZS,zero-shot source-only,primary,R_MIN_400_1800,D0-ERM,Compact D0 ERM encoder,source-only pseudo-domain CV,3 neural seeds,13-domain predictions,ART-P04-HISTORIES|ART-P04-CHECKPOINTS|ART-P04-PREDICTIONS,Every eligible fold completes or has terminal failure
EXP-N01-DEV,P,P05,T3-ZS,source-only pseudo-domain development,primary,R_MIN_400_1800,D1-ERM-SUPCON,D1 ERM plus supervised contrastive,source-only development only,3 neural seeds,development candidate metrics,ART-P05-DEVELOPMENT|ART-P05-FROZEN,G3 fields complete
EXP-N02-DEV,P,P05,T3-ZS,source-only pseudo-domain development,primary,R_MIN_400_1800,D2-ERM-PAIR,D2 ERM plus paired consistency,source-only development only,3 neural seeds,development candidate metrics,ART-P05-DEVELOPMENT|ART-P05-FROZEN,G3 fields complete
EXP-N03-DEV,P,P05,T3-ZS,source-only pseudo-domain development,primary,R_MIN_400_1800,D3-ERM-SUPCON-PAIR,D3 ERM plus SupCon plus paired consistency,source-only development only,3 neural seeds,development candidate metrics,ART-P05-DEVELOPMENT|ART-P05-FROZEN,G3 fields complete
EXP-N04-DEV,S,P05,T3-ZS,source-only pseudo-domain development,primary,R_MIN_400_1800,D4-D3-CCORAL,D4 D3 plus conditional CORAL,source-only development only,3 neural seeds,development candidate metrics,ART-P05-DEVELOPMENT|ART-P05-FROZEN,G3 fields complete
EXP-N05-DEV,S,P05,T3-ZS,source-only pseudo-domain development,primary,R_MIN_400_1800,D5-D3-CDANN,D5 D3 plus conditional domain adversary,source-only development only,3 neural seeds,development candidate metrics,ART-P05-DEVELOPMENT|ART-P05-FROZEN,G3 fields complete
EXP-NSEL-T1,P,P06,T1-CWA|T1-PILLS|T1-SURF,closed set,primary,R_MIN_400_1800,D-SELECTED,Frozen advancing deep pipeline,frozen before definitive aggregation,3 neural seeds,row and master predictions,ART-P06-PREDICTIONS|ART-P06-METRICS,All station folds complete
EXP-NSEL-T2,S,P06,T2-PS|T2-SP,station transfer,primary,R_MIN_400_1800,D0-DSELECTED,Frozen D0 and advancing deep pipeline,training-station selection only,3 neural seeds,directional transfer predictions,ART-P06-PREDICTIONS|ART-P06-METRICS,Both directions complete
EXP-NSEL-T3,P,P06,T3-ZS,zero-shot source-only,primary,R_MIN_400_1800,D0-DSELECTED,Frozen D0 and advancing deep pipeline,frozen source-only development,3 neural seeds,13-domain predictions,ART-P06-PREDICTIONS|ART-P06-METRICS,Primary paired comparison complete
EXP-UDA-001,S,P07,T3-UDA,unlabeled target adaptation,eligible support domains,R_MIN_400_1800,A-UDA,CORAL entropy and feature-statistic adaptation,no evaluation-master outcomes,3 neural seeds,adaptation learning curves,ART-P07-ADAPTATION,Every support-permitting size reported
EXP-PC-001,S,P07,T3-PC,paired calibration,eligible support domains,R_MIN_400_1800,A-PAIRED-CAL,Prototype PDS paired consistency and low-rank adapter,no evaluation-master outcomes,3 neural seeds,paired-calibration curves,ART-P07-ADAPTATION,Every support-permitting size reported
EXP-FS-001,S,P07,T3-FS,supervised target few-shot,eligible support domains,R_MIN_400_1800,A-FEWSHOT,Head-only full and low-rank tuning,calibration-master validation only,3 neural seeds,k-shot curves,ART-P07-ADAPTATION,Frozen draws and disjoint evaluation verified
EXP-RB-001,S,P08,T3-ZS,zero-shot source-only,primary,R_MIN_400_1800,E-PERTURBATION,Test-time physical perturbation grid,no perturbation outcome selects model,averaged trained seeds,degradation curves,ART-P08-ROBUSTNESS,All perturbation magnitudes complete
EXP-RB-002,S,P08,T3-ZS,zero-shot source-only,primary,R_SG_400_1800|R_ARPLS_400_1800|R_MIN_400_1849,E-FIXED-PIPELINES,Fixed classical and frozen deep pipelines,no test-based preprocessing choice,trained seeds,preprocessing sensitivity table,ART-P08-ROBUSTNESS,All declared branches complete
EXP-RB-003,S,P08,T3-ZS,zero-shot source-only,notes-clear and Mira1-excluded,R_MIN_400_1800,E-FIXED-PIPELINES,Fixed classical and frozen deep pipelines,no tier selected by outcome,trained seeds,quality-tier sensitivity table,ART-P08-ROBUSTNESS,Eligibility changes reason-coded
EXP-OS-001,S,P09,T4-OPEN,station-conditioned open set,primary,R_MIN_400_1800,OS-CLASSICAL,Frozen selected classical scores,known-only calibration and fixed score policy,none,open predictions thresholds and metrics,ART-P09-OPENSET,All eight held tasks complete
EXP-OS-002,S,P09,T4-OPEN,station-conditioned open set,primary,R_MIN_400_1800,OS-DEEP,Frozen D0 and selected deep scores,known-only calibration and fixed score policy,3 neural seeds,open predictions thresholds and metrics,ART-P09-OPENSET,All eight held tasks complete
EXP-PR-001,S,P10,T1|T3-ZS,frozen embeddings,primary,R_MIN_400_1800,PR-LINEAR,Target-adjusted linear probes,training-only probe fitting,averaged seeds,probe metrics and chemistry nulls,ART-P10-PROBES,Target instrument and sensor increments reported
EXP-PAIR-001,S,P10,T1|T3-ZS,frozen embeddings and probabilities,primary,R_MIN_400_1800,PR-PAIR,Same-master cross-domain diagnostics,no selection,averaged seeds,pair metrics and retrieval,ART-P10-PAIRS,Correctness-conditioned outputs complete
EXP-ATTR-001,E,P10,T1|T3-ZS,frozen final neural model,primary,R_MIN_400_1800,PR-ATTR,Integrated gradients and 10 cm occlusion,frozen model only,averaged seeds,attribution tables and sanity controls,ART-P10-ATTRIBUTION,Randomized-head and randomized-encoder sanity tests pass
EXP-STAT-001,P,P11,T3-ZS,paired inference,primary,R_MIN_400_1800,SYS-STAT,Hierarchical bootstrap and leave-one-domain analyses,frozen outputs,10000 bootstrap seeds,primary effect and interval,ART-P11-INFERENCE,G4 verdict determined
EXP-FIG-001,P,P12,ALL,reporting,all,all,SYS-FIGURE,Paired TikZ PGFPlots and standalone HTML generator,frozen evidence tables,none,figure registry outputs,ART-P12-FIGURE-DATA|ART-P12-TIKZ|ART-P12-HTML|ART-P12-PDF|ART-P12-FINAL,GF parity gate passes
